"station_id","station_name","latitude","longitude","Date","E Coli Concentration ","Enterococcus Bacteria Concentration ","Air Temperature ","Water Temperature ","Turbidity "
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-08-29 00:00:00,6,NA,25,25,5.7
"J35","James River at Lynchburg",37.41605,-79.13675,2013-08-29 00:00:00,1,NA,28,25,1.77
"J10","James River at 14th Street",37.530947,-77.431925,2013-08-29 00:00:00,5,NA,25,25,5.25
"A02","Appomattox River at Hopewell",37.311187,-77.297991,2013-08-29 00:00:00,9,NA,24.9,25.2,1.83
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-08-29 00:00:00,2,NA,24.6,26,7.91
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-08-29 00:00:00,2,NA,25,25,5.57
"J05","James River at Jamestown Beach",37.2239,-76.788613,2013-08-29 00:00:00,1,NA,26,26,8.16
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-02-20 00:00:00,1,NA,17,5,NA
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-02-27 00:00:00,0,NA,6,6,NA
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-03-06 00:00:00,8,NA,4,6,NA
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-03-13 00:00:00,0,NA,7,6.5,NA
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-03-20 00:00:00,0,NA,19,11,NA
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-03-27 00:00:00,0,NA,10,9,NA
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-04-03 00:00:00,0,NA,22,11.5,NA
"J20","James River at Tredegar Beach",37.534353,-77.445372,2014-04-08 00:00:00,10,NA,19,14,9.78
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-04-10 00:00:00,2,NA,21,6,NA
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-04-17 00:00:00,1,NA,14,16,NA
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-05-15 00:00:00,1,NA,27,22,10.57
"J30","James River at Scottsville",37.797533,-78.49055,2014-05-22 00:00:00,1,NA,20,-9,4.98
"A01","Appomattox River at City Point",37.316523,-77.273569,2014-05-22 00:00:00,5,NA,25.5,21,22
"J40","James River at Buchanan",37.529933,-79.679078,2014-05-22 00:00:00,4,NA,26,19,2.17
"J20","James River at Tredegar Beach",37.534353,-77.445372,2014-05-22 00:00:00,1,NA,27,20,15.3
"M05","Maury River at Ben Salem Wayside",37.753461,-79.392316,2014-05-22 00:00:00,6,NA,24.5,18.5,3.78
"C05","Chickahominy at Grapevine Bridge",37.55197,-77.271146,2014-05-22 00:00:00,1,NA,24.5,23,9.45
"J15",NA,37.530947,-77.431925,2014-05-22 00:00:00,2,NA,28,21.5,13.5
"J08","James River at Rocketts Landing",37.518597,-77.416635,2014-05-22 00:00:00,6,NA,32,24,19.3
"J35","James River at Lynchburg",37.41605,-79.13675,2014-05-22 00:00:00,0,NA,24.5,17.1,6.21
"J10","James River at 14th Street",37.530947,-77.431925,2014-05-22 00:00:00,45,NA,27,20,12.2
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-05-22 00:00:00,1,NA,26.7,NA,NA
"J25","James River at Maidens",37.6661,-77.888811,2014-05-22 00:00:00,2,NA,28.2,21,14.05
"J05","James River at Jamestown Beach",37.2239,-76.788613,2014-05-23 00:00:00,0,NA,19,22,12.1
"J35","James River at Lynchburg",37.41605,-79.13675,2014-05-29 00:00:00,0,NA,20,23,4.09
"J08","James River at Rocketts Landing",37.518597,-77.416635,2014-05-29 00:00:00,2,NA,21,24,4.04
"J25","James River at Maidens",37.6661,-77.888811,2014-05-29 00:00:00,16,NA,18.5,22.5,12.1
"J10","James River at 14th Street",37.530947,-77.431925,2014-05-29 00:00:00,2,NA,20,24,5.58
"J15",NA,37.530947,-77.431925,2014-05-29 00:00:00,1,NA,20,23.5,7.16
"A01","Appomattox River at City Point",37.316523,-77.273569,2014-05-29 00:00:00,0,NA,19,24,18.1
"M05","Maury River at Ben Salem Wayside",37.753461,-79.392316,2014-05-29 00:00:00,12,NA,20,20.1,2.86
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-05-29 00:00:00,0,NA,20,22,12.4
"J30","James River at Scottsville",37.797533,-78.49055,2014-05-29 00:00:00,3,NA,17.2,-9,3.39
"J20","James River at Tredegar Beach",37.534353,-77.445372,2014-05-29 00:00:00,1,NA,20,23,6.63
"J40","James River at Buchanan",37.529933,-79.679078,2014-05-29 00:00:00,10,NA,25,22,3.07
"J05","James River at Jamestown Beach",37.2239,-76.788613,2014-05-30 00:00:00,1,NA,26,22.6,12.2
"J40","James River at Buchanan",37.529933,-79.679078,2014-06-05 00:00:00,16,NA,29,25,2.79
"J10","James River at 14th Street",37.530947,-77.431925,2014-06-05 00:00:00,5,NA,24,25,2.43
"M05","Maury River at Ben Salem Wayside",37.753461,-79.392316,2014-06-05 00:00:00,8,NA,25.2,24.1,4.07
"J15",NA,37.530947,-77.431925,2014-06-05 00:00:00,2,NA,24,24.5,2.91
"J05","James River at Jamestown Beach",37.2239,-76.788613,2014-06-05 00:00:00,1,NA,26,27.5,30.2
"C05","Chickahominy at Grapevine Bridge",37.55197,-77.271146,2014-06-05 00:00:00,3,NA,19,24,12.6
"J35","James River at Lynchburg",37.41605,-79.13675,2014-06-05 00:00:00,6,NA,26.5,23.5,3.44
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-06-05 00:00:00,10,NA,28,26,9.47
"J08","James River at Rocketts Landing",37.518597,-77.416635,2014-06-05 00:00:00,5,NA,24,23.5,2.67
"C05","Chickahominy at Grapevine Bridge",37.55197,-77.271146,2014-06-05 00:00:00,4,NA,25,26,10.71
"J20","James River at Tredegar Beach",37.534353,-77.445372,2014-06-05 00:00:00,7,NA,26,26.5,3.96
"J25","James River at Maidens",37.6661,-77.888811,2014-06-05 00:00:00,1,NA,27,27,3.61
